,,MXWD,MXEF,MXWO,IBOV,VIX,TIPS
Tu,14/05/2024,785.88,1080.96,3435.15,128.515k,13.42,340.3247
Mo,13/05/2024,782.83,1078.72,3421.11,128.155k,13.6,339.6622
,,,,,,,
Fr,10/05/2024,782.06,1071.64,3419.92,127.60k,12.55,339.3392
Th,09/05/2024,779.64,1063.52,3411.11,128.188k,12.69,339.9338
We,08/05/2024,776.7,1066.62,3395.64,129.481k,13,338.8614
Tu,07/05/2024,778.08,1068.26,3401.77,129.21k,13.23,339.2193
Mo,06/05/2024,775.78,1066.73,3391.13,128.466k,13.49,339.2476
,,,,,,,
Fr,03/05/2024,769.29,1061.45,3361.41,128.509k,13.49,338.88
Th,02/05/2024,760.52,1052.86,3321.81,127.122k,14.68,337.2983
We,01/05/2024,754.26,1045.52,3294.01,,15.39,336.2621
Tu,30/04/2024,756.61,1045.95,3305.3,125.924k,15.65,335.8316
Mo,29/04/2024,765.58,1051.33,3347.04,127.352k,14.67,337.2247
,,,,,,,
Fr,26/04/2024,762.39,1041.52,3335.08,126.526k,15.03,336.2521
Th,25/04/2024,755.59,1028.61,3306.68,124.646k,15.37,335.4794
We,24/04/2024,759.46,1034.69,3323.29,124.741k,15.97,336.0879
Tu,23/04/2024,758.15,1019.34,3322.54,125.148k,15.69,336.6724
Mo,22/04/2024,749.29,1011.84,3282.09,125.573k,16.94,336.386
,,,,,,,
Fr,19/04/2024,743.28,1004.17,3255.62,125.124k,18.71,336.2541
Th,18/04/2024,749.39,1018.59,3280.1,124.196k,18,335.7655
We,17/04/2024,749.14,1012.46,3281.11,124.171k,18.21,336.3854
Tu,16/04/2024,752.23,1009.84,3297.14,124.389k,18.4,335.3217
Mo,15/04/2024,758.01,1030.74,3317.68,125.334k,19.23,336.3649
,,,,,,,
Fr,12/04/2024,765.67,1041.7,3351.01,125.946k,17.31,337.3546
Th,11/04/2024,774.88,1055.09,3391.01,127.396k,14.91,336.2509
We,10/04/2024,772.78,1057.89,3379.73,128.054k,15.8,336.6839
Tu,09/04/2024,779.23,1055.37,3412.09,129.89k,14.98,339.7817
Mo,08/04/2024,778.04,1049.16,3408.57,128.857k,15.19,338.8858
,,,,,,,
Fr,05/04/2024,776.51,1045.71,3402.36,126.795k,16.03,338.8447
Th,04/04/2024,773.44,1048.76,3386.31,127.428k,16.35,340.3756
We,03/04/2024,777.81,1043.23,3409.62,127.318k,14.33,339.221
Tu,02/04/2024,777.04,1049.93,3403.4,127.549k,14.61,339.219
Mo,01/04/2024,780.83,1042.07,3424.73,126.99k,13.65,339.1797
,,,,,,,
Fr,29/03/2024,783.58,1043.2,3437.76,,,341.5915
Th,28/03/2024,783.17,1040.39,3436.78,128.106k,13.01,341.5915
We,27/03/2024,782.94,1036.73,3436.98,127.691k,12.78,341.0727
Tu,26/03/2024,778.53,1040.07,3414.29,126.863k,13.24,340.2265
Mo,25/03/2024,779.45,1036.13,3420.18,126.931k,13.19,340.0338
,,,,,,,
Fr,22/03/2024,781.32,1039.32,3428.12,127.027k,13.06,340.9811
Th,21/03/2024,783.34,1048.34,3434.69,128.159k,12.92,339.7959
We,20/03/2024,778.06,1032.12,3414.89,129.125k,13.04,339.2696
Tu,19/03/2024,773.32,1027.78,3393.37,127.529k,13.82,338.0908
Mo,18/03/2024,771.48,1038.07,3380.67,126.954k,14.33,337.5853
,,,,,,,
Fr,15/03/2024,767.62,1034.74,3363.03,126.742k,14.41,337.8554
Th,14/03/2024,772.65,1048.68,3382.48,127.69k,14.4,338.0235
We,13/03/2024,775.3,1046.51,3396.19,128.006k,13.75,340.0842
Tu,12/03/2024,775.71,1049.07,3397.25,127.668k,13.84,340.5655
Mo,11/03/2024,768.77,1039.07,3367.08,126.124k,15.22,341.1912
,,,,,,,
Fr,08/03/2024,771.3,1037.09,3380.14,127.071k,14.74,341.6814
Th,07/03/2024,773.07,1030.27,3391.26,128.34k,14.44,341.443
We,06/03/2024,765.88,1027.95,3357.03,128.89k,14.5,341.7244
Tu,05/03/2024,761.34,1021.74,3337.2,128.098k,14.46,341.4888
Mo,04/03/2024,767.13,1030.39,3362.28,128.341k,13.49,340.0221
,,,,,,,
Fr,01/03/2024,767.07,1024.68,3364.04,129.18k,13.11,340.0762
Th,29/02/2024,761.28,1020.94,3337.2,129.02k,13.4,338.8034
We,28/02/2024,758.13,1018.72,3322.64,130.155k,13.84,337.9781
Tu,27/02/2024,760.7,1027.75,3331.88,131.689k,13.43,336.8268
Mo,26/02/2024,759.17,1024.11,3325.79,129.609k,13.74,337.3846
,,,,,,,
Fr,23/02/2024,761.18,1028.31,3334.04,129.419k,13.75,337.4034
Th,22/02/2024,760.41,1029.44,3329.86,130.241k,14.54,336.5124
We,21/02/2024,747.91,1020.62,3272.19,130.032k,15.34,336.9969
Tu,20/02/2024,748.23,1018.99,3274.33,129.916k,15.42,337.5453
Mo,19/02/2024,750.61,1016.38,3286.86,129.036k,14.71,337.2551
,,,,,,,
Fr,16/02/2024,750.24,1016.23,3285.12,128.726k,14.24,337.2551
Th,15/02/2024,750.55,1007.7,3289.74,127.804k,14.01,337.5563
We,14/02/2024,744.95,998.86,3265.67,127.018k,14.38,337.2478
Tu,13/02/2024,739.58,996.78,3240.26,,15.85,335.8123
Mo,12/02/2024,747.89,996.06,3281.01,,13.93,337.8372
,,,,,,,
Fr,09/02/2024,747.93,995.53,3281.42,128.026k,12.93,337.8391
Th,08/02/2024,744.95,997.54,3266.14,128.217k,12.79,338.1923
We,07/02/2024,745.1,1002.55,3265.07,129.95k,12.83,338.624
Tu,06/02/2024,740.68,999.86,3244.51,130.416k,13.06,339.1788
Mo,05/02/2024,737.19,983.32,3233.53,127.593k,13.67,338.0812
,,,,,,,
Fr,02/02/2024,740.45,988.21,3247.64,127.182k,13.85,339.7924
Th,01/02/2024,735.72,982.12,3226.8,128.481k,13.88,343.1508
We,31/01/2024,730.84,975.8,3205.32,127.752k,14.35,342.4834
Tu,30/01/2024,737.65,980.59,3236.76,127.402k,13.31,340.5587
Mo,29/01/2024,738.28,990.18,3236.32,128.503k,13.6,340.5668
,,,,,,,
Fr,26/01/2024,733.77,985.1,3216.23,128.967k,13.26,339.1606
Th,25/01/2024,733.21,988.3,3212.32,128.169k,13.45,339.3041
We,24/01/2024,730.96,982.34,3203.55,127.816k,13.14,338.3282
Tu,23/01/2024,727.44,969.97,3190.9,128.263k,12.55,339.0649
Mo,22/01/2024,726.64,964.15,3189.1,126.602k,13.19,340.0771
,,,,,,,
Fr,19/01/2024,724.32,970.91,3175.36,127.636k,13.3,339.9841
Th,18/01/2024,717.01,961.34,3143.2,127.316k,14.13,339.7055
We,17/01/2024,712.11,958.39,3120.44,128.524k,14.79,339.6146
Tu,16/01/2024,718.96,979.72,3146.04,129.294k,13.84,340.5969
Mo,15/01/2024,724.03,995.16,3165.14,131.521k,13.25,342.3658
,,,,,,,
Fr,12/01/2024,724.77,996.3,3168.31,130.988k,12.7,342.3658
Th,11/01/2024,722.4,994.75,3157.32,130.649k,12.44,340.8051
We,10/01/2024,722.83,988.97,3161.5,130.841k,12.69,339.1894
Tu,09/01/2024,720.14,993,3146.97,131.447k,12.76,339.4669
Mo,08/01/2024,721.79,996.76,3153.62,132.427k,13.08,340.0771
,,,,,,,
Fr,05/01/2024,715.4,1002.08,3120.55,132.023k,13.35,339.074
Th,04/01/2024,714.24,1004.26,3114.12,131.226k,14.13,339.7355
We,03/01/2024,714.48,1003.13,3115.68,132.834k,14.04,341.5125
Tu,02/01/2024,721.57,1016.38,3145.42,132.697k,13.2,340.9313
Mo,01/01/2024,727.08,1024.67,3169.25,,,
,,,,,,,
Fr,29/12/2023,727,1023.74,3169.18,,12.45,341.8765
Th,28/12/2023,728.75,1022.89,3178.05,134.185k,12.47,341.7434
We,27/12/2023,727.29,1009.84,3175.65,134.194k,12.43,343.045
Tu,26/12/2023,723.77,998.53,3162.65,133.533k,12.99,341.3829
Mo,25/12/2023,721.3,993.25,3152.49,,,341.2979
,,,,,,,
Fr,22/12/2023,721.18,992.28,3152.26,132.753k,13.03,341.2979
Th,21/12/2023,720.15,998.32,3145.09,132.182k,13.65,341.8342
We,20/12/2023,715.31,997.46,3121.79,130.804k,13.67,342.5099
Tu,19/12/2023,721.87,998.6,3153.35,131.851k,12.53,341.1257
Mo,18/12/2023,717.3,997.91,3131.35,131.084k,12.56,341.0126
,,,,,,,
Fr,15/12/2023,716.45,1000.89,3126.14,130.197k,12.28,341.9093
Th,14/12/2023,716.39,992.51,3128.89,130.842k,12.48,342.4096
We,13/12/2023,709.27,973.47,3101.08,129.465k,12.19,338.729
Tu,12/12/2023,702.59,976.58,3067.44,126.403k,12.07,334.1735
Mo,11/12/2023,700.08,973.23,3056.42,126.916k,12.63,334.3832
,,,,,,,
Fr,08/12/2023,698.32,975.01,3047.21,127.094k,12.35,335.0172
Th,07/12/2023,695.95,970.12,3037.45,126.01k,13.06,335.3206
We,06/12/2023,692.93,974.98,3020.98,125.623k,12.97,335.9237
Tu,05/12/2023,693.17,972.03,3023.22,126.903k,12.85,335.5307
Mo,04/12/2023,694.48,980.24,3026.59,126.803k,13.08,333.6937
,,,,,,,
Fr,01/12/2023,697.51,982.14,3040.7,128.185k,12.63,335.0998
Th,30/11/2023,694.38,987.1,3023.63,127.331k,12.92,332.9145
We,29/11/2023,692.09,983.04,3013.93,126.166k,12.98,333.8962
Tu,28/11/2023,691.99,985.47,3012.57,126.538k,12.69,332.5423
Mo,27/11/2023,690.46,977.54,3007.99,125.731k,12.69,331.3224
,,,,,,,
Fr,24/11/2023,692.15,980.33,3015.19,125.517k,12.46,330.1323
Th,23/11/2023,691.39,988.08,3008.74,126.576k,12.8,331.5
We,22/11/2023,690.24,983.6,3004.76,126.035k,12.85,331.5
Tu,21/11/2023,689.6,988.47,2999.87,125.626k,13.35,331.2673
Mo,20/11/2023,690.4,985.41,3004.88,125.957k,13.41,331.999
,,,,,,,
Fr,17/11/2023,685.7,976.52,2985.19,124.773k,13.8,330.8238
Th,16/11/2023,683.62,982.25,2973,124.639k,14.32,330.5633
We,15/11/2023,684.16,983.51,2975.19,,14.18,329.3221
Tu,14/11/2023,679.93,959.12,2963.36,123.166k,14.16,330.8725
Mo,13/11/2023,667.35,952.27,2904.64,120.41k,14.76,328.0781
,,,,,,,
Fr,10/11/2023,666.26,948.32,2900.76,120.568k,14.17,328.1988
Th,09/11/2023,662.37,956.25,2878.98,119.034k,15.29,328.1361
We,08/11/2023,664.43,957.91,2888.41,119.177k,14.45,330.9975
Tu,07/11/2023,664.42,960.66,2887.39,119.268k,14.81,330.2922
Mo,06/11/2023,665.45,968.91,2889.44,118.431k,14.89,329.3633
,,,,,,,
Fr,03/11/2023,662.77,948.26,2883.8,118.16k,14.91,330.2315
Th,02/11/2023,655.05,930.62,2852.55,,15.66,328.4021
We,01/11/2023,642.65,915.97,2797.49,115.053k,16.87,327.0746
Tu,31/10/2023,636.65,915.2,2768.62,113.144k,18.14,324.1331
Mo,30/10/2023,634.88,921.9,2757.59,112.532k,19.75,325.0272
,,,,,,,
Fr,27/10/2023,629.46,919.78,2731.99,113.301k,21.27,325.4911
Th,26/10/2023,630.65,910.91,2740.96,114.777k,20.68,325.034
We,25/10/2023,637.78,920.78,2772.11,112.83k,20.19,323.4251
Tu,24/10/2023,643.9,920.57,2801.96,113.762k,18.97,324.803
Mo,23/10/2023,640.56,917.69,2786.75,112.785k,20.37,324.4413
,,,,,,,
Fr,20/10/2023,642.07,925.58,2791.24,113.155k,21.71,324.3243
Th,19/10/2023,649.28,930.8,2824.45,114.004k,21.4,323.4861
We,18/10/2023,655.83,943.12,2851.89,114.06k,19.22,323.6466
Tu,17/10/2023,663.98,951.21,2888.62,115.908k,17.88,324.3007
Mo,16/10/2023,662.94,946.21,2885.35,116.534k,17.21,325.9425
,,,,,,,
Fr,13/10/2023,658.54,951.31,2862.14,115.754k,19.32,326.6596
Th,12/10/2023,663.89,962.69,2884.06,,16.69,324.6506
We,11/10/2023,666.63,956.84,2899.5,117.051k,16.09,326.8839
Tu,10/10/2023,663.34,944.55,2887.89,116.737k,17.03,325.2805
Mo,09/10/2023,656.67,935.42,2858.71,115.156k,17.7,
,,,,,,,
Fr,06/10/2023,654.04,937.34,2845.23,114.17k,17.45,321.9636
Th,05/10/2023,647.59,930.23,2816.43,113.284k,18.49,323.1449
We,04/10/2023,646.27,927.86,2810.86,113.607k,18.58,323.7581
Tu,03/10/2023,644.8,939.16,2799.64,113.419k,19.78,322.3132
Mo,02/10/2023,653.75,951.49,2838.78,115.057k,17.61,324.416
,,,,,,,
Fr,29/09/2023,656.82,952.78,2853.24,116.565k,17.52,326.4954
Th,28/09/2023,656.72,944.08,2855.88,115.731k,17.34,327.2082
We,27/09/2023,653.93,948.25,2840.82,114.327k,18.22,325.6158
Tu,26/09/2023,654.68,947.18,2844.83,114.193k,18.94,326.136
Mo,25/09/2023,662.62,957.41,2879.79,115.925k,16.9,326.9292
,,,,,,,
Fr,22/09/2023,663.14,964.24,2879.85,116.009k,17.2,329.3728
Th,21/09/2023,663.83,956.25,2886.07,116.145k,17.54,328.1875
We,20/09/2023,675.24,970.87,2936.36,118.695k,15.14,330.0373
Tu,19/09/2023,678.56,974.5,2951.17,117.846k,14.11,330.7412
Mo,18/09/2023,679.7,976.17,2956.14,118.288k,14,331.5783
,,,,,,,
Fr,15/09/2023,681.34,984.99,2960.98,118.758k,13.79,330.8799
Th,14/09/2023,685.6,982.11,2982.69,119.392k,12.82,331.5981
We,13/09/2023,679.73,974.56,2956.84,118.176k,13.48,332.1987
Tu,12/09/2023,679.61,975.72,2955.87,117.968k,14.23,331.9278
Mo,11/09/2023,682.53,977.5,2969.45,116.883k,13.8,331.5568
,,,,,,,
Fr,08/09/2023,678.02,973.86,2948.81,115.313k,13.84,331.8797
Th,07/09/2023,677.65,973.59,2947.11,,14.4,331.1871
We,06/09/2023,680.02,981.42,2955.82,115.985k,14.45,330.0634
Tu,05/09/2023,683.97,985.84,2973.45,117.331k,14.01,330.5082
Mo,04/09/2023,688.12,995.5,2990.17,117.777k,13.82,
,,,,,,,
Fr,01/09/2023,687.26,985.68,2989.51,117.893k,13.09,331.0915
Th,31/08/2023,686.15,980.33,2986.02,115.742k,13.57,332.6352
We,30/08/2023,687.86,988.3,2991.52,117.535k,13.88,332.2577
Tu,29/08/2023,684.51,987.58,2975.5,118.404k,14.45,332.5789
Mo,28/08/2023,675.63,978.09,2935.71,117.121k,15.08,331.0914
,,,,,,,
Fr,25/08/2023,670.23,971.04,2911.99,115.837k,15.68,330.8555
Th,24/08/2023,669.87,982.31,2906.25,117.026k,17.2,330.9801
We,23/08/2023,675.46,970.2,2937.7,118.135k,15.98,332.2969
Tu,22/08/2023,669.34,966.69,2909.19,116.156k,16.97,329.4179
Mo,21/08/2023,669.11,959.79,2910.52,114.429k,17.13,328.8124
,,,,,,,
Fr,18/08/2023,666.77,964.44,2897.5,115.409k,17.3,329.6456
Th,17/08/2023,668.35,973.86,2901.84,114.982k,17.89,329.1645
We,16/08/2023,673.38,975.77,2925.63,115.592k,16.78,329.3636
Tu,15/08/2023,678.47,981.8,2948.22,116.171k,16.46,330.2852
Mo,14/08/2023,684.7,986.28,2976.86,116.81k,14.82,331.306
,,,,,,,
Fr,11/08/2023,684.68,997.72,2972.73,118.065k,14.84,331.9946
Th,10/08/2023,687.94,1008.34,2984.81,118.35k,15.85,332.2959
We,09/08/2023,686.19,1008.42,2976.31,118.409k,15.96,334.1864
Tu,08/08/2023,688.28,1003.71,2988.1,119.09k,15.99,334.2964
Mo,07/08/2023,692.42,1016.31,3003.77,119.38k,15.77,334.1096
,,,,,,,
Fr,04/08/2023,689,1018.02,2986.54,119.508k,17.1,333.9705
Th,03/08/2023,689.58,1015.81,2990.13,120.586k,15.92,330.7936
We,02/08/2023,692.02,1019.99,3000.54,120.859k,16.09,332.9731
Tu,01/08/2023,703.6,1043.09,3048.6,121.248k,13.93,333.5742
Mo,31/07/2023,707.11,1046.91,3064.3,121.943k,13.63,335.6325
,,,,,,,
Fr,28/07/2023,705.51,1043.2,3057.84,120.187k,13.33,335.3552
Th,27/07/2023,700.1,1035.15,3034.41,119.99k,14.41,334.1587
We,26/07/2023,701.98,1031.88,3044.7,122.56k,13.19,336.6226
Tu,25/07/2023,702.15,1032.26,3045.39,122.008k,13.86,336.4894
Mo,24/07/2023,699.15,1013.45,3037.44,121.342k,13.91,336.9664
,,,,,,,
Fr,21/07/2023,697.43,1014.58,3028.71,120.217k,13.6,336.6957
Th,20/07/2023,697.89,1018.06,3029.7,118.083k,13.99,336.6698
We,19/07/2023,701.76,1019.59,3047.99,117.552k,13.76,336.9743
Tu,18/07/2023,700.82,1022.12,3042.53,117.841k,13.3,335.8667
Mo,17/07/2023,697,1027.76,3021.96,118.219k,13.48,336.0322
,,,,,,,
Fr,14/07/2023,696.22,1028.49,3017.94,117.711k,13.34,335.3918
Th,13/07/2023,696.01,1020.53,3019.71,119.264k,13.61,337.0086
We,12/07/2023,688.22,1005.55,2987.19,117.666k,13.54,335.3926
Tu,11/07/2023,680.43,994.89,2953.12,117.556k,14.84,332.0003
Mo,10/07/2023,674.94,981.88,2931.05,117.942k,15.07,332.1239
,,,,,,,
Fr,07/07/2023,673.44,980.66,2924.19,118.898k,14.83,331.2977
Th,06/07/2023,673.81,984.69,2924.55,117.426k,15.44,331.5449
We,05/07/2023,682.46,1001.12,2960.76,119.549k,14.18,333.5565
Tu,04/07/2023,685.22,1008.05,2971.7,119.076k,13.7,
Mo,03/07/2023,685.07,1005.11,2972.03,119.673k,13.57,334.9742
,,,,,,,
Fr,30/06/2023,682.84,989.48,2966.72,118.087k,13.59,335.212
Th,29/06/2023,675.9,987.07,2933.86,118.383k,13.54,333.948
We,28/06/2023,674.42,992.06,2924.92,116.681k,13.43,336.2685
Tu,27/06/2023,673.87,995.02,2921.19,117.523k,13.74,335.4667
Mo,26/06/2023,668.04,989.27,2894.93,118.243k,14.25,336.4526
,,,,,,,
Fr,23/06/2023,669.76,991.91,2902.34,118.977k,13.44,336.2967
Th,22/06/2023,676.2,1001.14,2930.37,118.934k,12.91,335.4926
We,21/06/2023,675.89,1004.27,2927.72,120.42k,13.2,336.7035
Tu,20/06/2023,678.97,1013.24,2939.54,119.622k,13.88,336.6064
Mo,19/06/2023,682.92,1023.42,2955.12,119.858k,14.19,
,,,,,,,
Fr,16/06/2023,684.89,1030.03,2962.34,118.758k,13.54,335.6863
Th,15/06/2023,685.26,1023.59,2966.43,119.221k,14.5,336.5977
We,14/06/2023,679.1,1014.91,2939.59,119.069k,13.88,334.6383
Tu,13/06/2023,676.94,1013.25,2929.68,116.743k,14.61,333.9029
Mo,12/06/2023,671.33,1003.14,2906.01,117.336k,15.01,335.4618
,,,,,,,
Fr,09/06/2023,667.08,1002.33,2885.63,117.019k,13.83,335.2578
Th,08/06/2023,665.76,994.08,2882.13,,13.65,336.039
We,07/06/2023,662.65,995.41,2866.59,115.488k,13.94,334.5888
Tu,06/06/2023,664.49,988.49,2877.97,114.61k,13.96,336.0904
Mo,05/06/2023,662.78,986.69,2870.27,112.696k,14.73,335.8652
,,,,,,,
Fr,02/06/2023,663.25,984.36,2873.37,112.558k,14.6,335.1895
Th,01/06/2023,653.02,961.8,2831.66,110.565k,15.65,336.9104
We,31/05/2023,646.37,958.53,2800.56,108.335k,17.94,336.3449
Tu,30/05/2023,652.38,970.32,2825.6,108.967k,17.46,336.0514
Mo,29/05/2023,653.48,971.75,2830.43,110.333k,17.46,
,,,,,,,
Fr,26/05/2023,653.05,972.86,2827.93,110.906k,17.95,334.1839
Th,25/05/2023,646,964.01,2796.86,110.054k,19.14,334.3678
We,24/05/2023,644.84,970.9,2788.82,108.80k,20.03,335.9723
Tu,23/05/2023,651.17,978.6,2816.85,109.929k,18.53,337.0776
Mo,22/05/2023,657.46,983.27,2845.71,110.213k,17.21,336.012
,,,,,,,
Fr,19/05/2023,656.42,977.24,2842.76,110.745k,16.81,336.3326
Th,18/05/2023,655.94,978.16,2840.12,110.108k,16.05,337.1788
We,17/05/2023,651.81,975.83,2820.92,109.46k,16.87,338.4744
Tu,16/05/2023,648.23,979.24,2802.39,108.194k,17.99,338.6858
Mo,15/05/2023,651.63,977.48,2819.47,109.029k,17.12,339.4276
,,,,,,,
Fr,12/05/2023,649.22,973,2809.35,108.464k,17.03,339.9014
Th,11/05/2023,650.7,977.82,2814.86,108.256k,16.93,341.0172
We,10/05/2023,652.43,979.64,2822.6,107.448k,16.94,340.3605
Tu,09/05/2023,651.11,982.24,2815.29,107.114k,17.71,339.3945
Mo,08/05/2023,654.12,989.44,2827.38,106.042k,16.98,339.9408
,,,,,,,
Fr,05/05/2023,652.45,981.66,2821.99,105.148k,17.19,340.9633
Th,04/05/2023,643.25,976.36,2779.26,102.174k,20.09,341.6091
We,03/05/2023,646.29,969.62,2796.31,101.797k,18.34,341.9575
Tu,02/05/2023,647.99,973.94,2803.07,101.927k,17.78,340.4026
Mo,01/05/2023,654.49,976.74,2833.6,,16.08,337.9544
,,,,,,,
Fr,28/04/2023,655,977.05,2835.93,104.432k,15.78,340.4171
Th,27/04/2023,650.49,972.18,2815.77,102.923k,17.03,340.0932
We,26/04/2023,642.74,967.85,2779.71,102.312k,18.84,341.5462
Tu,25/04/2023,644.61,965.6,2789.54,103.22k,18.76,342.4621
Mo,24/04/2023,653.15,977.38,2826.85,103.947k,16.89,340.5464
,,,,,,,
Fr,21/04/2023,652.61,980.74,2823.07,,16.77,338.7995
Th,20/04/2023,653.14,989.79,2822.54,104.367k,17.17,339.1703
We,19/04/2023,655.43,990.37,2833.39,103.913k,16.46,338.1006
Tu,18/04/2023,656.67,1000.54,2835.89,106.163k,16.83,338.3255
Mo,17/04/2023,655.11,1003.78,2827.24,106.016k,16.95,338.2132
,,,,,,,
Fr,14/04/2023,654.57,1000.49,2825.75,106.279k,17.07,339.6692
Th,13/04/2023,655.04,997.03,2829.2,106.458k,17.8,341.029
We,12/04/2023,647.83,993.58,2795.48,106.89k,19.09,341.7242
Tu,11/04/2023,648.35,996.25,2797.07,106.214k,19.1,341.6456
Mo,10/04/2023,645.57,988.68,2786.2,101.847k,18.97,341.2538
,,,,,,,
Fr,07/04/2023,646.31,987.07,2790.38,,,341.284
Th,06/04/2023,646.07,984.43,2790.1,100.822k,18.4,343.1388
We,05/04/2023,645.06,987.85,2784.05,100.978k,19.08,342.5925
Tu,04/04/2023,647.67,987.62,2796.78,101.869k,19,341.8486
Mo,03/04/2023,649.2,989.18,2803.63,101.506k,18.55,341.1236
,,,,,,,
Fr,31/03/2023,646.76,990.28,2791.44,101.882k,18.7,340.0443
Th,30/03/2023,639.89,985.77,2759.71,103.713k,19.02,338.5142
We,29/03/2023,635.3,980.14,2739.42,101.793k,19.12,338.2144
Tu,28/03/2023,627.48,970.69,2704.76,101.185k,19.97,337.6214
Mo,27/03/2023,626.52,964.01,2702.42,99670.47,20.6,336.885
,,,,,,,
Fr,24/03/2023,625.06,972.17,2692.55,98829.27,21.74,339.2632
Th,23/03/2023,626.35,977.78,2696.85,97926.34,22.61,339.9672
We,22/03/2023,622.97,961.48,2686.13,100.221k,22.26,339.0888
Tu,21/03/2023,627.63,952.45,2711.84,100.998k,21.38,335.006
Mo,20/03/2023,620.03,942.98,2678.29,100.923k,24.15,335.499
,,,,,,,
Fr,17/03/2023,616.09,951.56,2656.19,101.982k,25.51,335.0455
Th,16/03/2023,619.86,941.35,2677.99,103.435k,22.99,334.6586
We,15/03/2023,612.09,946.87,2638.46,102.675k,26.14,338.0592
Tu,14/03/2023,619.38,945.12,2674.36,102.932k,23.73,334.5162
Mo,13/03/2023,614.21,961.5,2643.64,103.121k,26.52,335.6966
,,,,,,,
Fr,10/03/2023,616.6,955.28,2657.41,103.618k,24.8,333.3954
Th,09/03/2023,624.51,968.39,2691.17,105.071k,22.61,328.7922
We,08/03/2023,632.23,978.07,2725.23,106.54k,19.11,328.1561
Tu,07/03/2023,632.88,988.38,2724.8,104.228k,19.59,329.6969
Mo,06/03/2023,641.48,993.74,2764.64,104.70k,18.61,331.7781
,,,,,,,
Fr,03/03/2023,639.69,988.03,2757.97,103.866k,18.49,332.8407
Th,02/03/2023,631.22,980.05,2719.68,103.326k,19.59,329.8458
We,01/03/2023,628.86,984.19,2706.79,104.385k,20.58,329.538
Tu,28/02/2023,629.02,964.01,2714.57,104.932k,20.7,330.4917
Mo,27/02/2023,630.71,967.25,2721.63,105.711k,20.95,329.3638
,,,,,,,
Fr,24/02/2023,628,971.87,2706.91,105.798k,21.67,328.8391
Th,23/02/2023,635.43,987.74,2737.41,107.593k,21.14,330.9333
We,22/02/2023,633.68,982.06,2730.88,107.152k,22.29,330.0077
Tu,21/02/2023,636.57,995.19,2740.38,,22.87,330.0701
Mo,20/02/2023,646.14,1005.21,2783.26,,21.23,
,,,,,,,
Fr,17/02/2023,645.03,999.42,2779.88,109.177k,20.02,331.6444
Th,16/02/2023,648.08,1011.14,2790.63,109.941k,20.17,330.9565
We,15/02/2023,652.76,1004.87,2815.45,109.60k,18.23,331.8172
Tu,14/02/2023,652.84,1014.49,2812.53,107.849k,18.91,331.7316
Mo,13/02/2023,652.26,1013.53,2810.04,108.836k,20.34,332.7283
,,,,,,,
Fr,10/02/2023,646.87,1013.67,2783.91,108.078k,20.53,332.4366
Th,09/02/2023,649.01,1024.51,2790.53,108.008k,20.71,333.5474
We,08/02/2023,651.09,1020.58,2801.96,109.951k,19.63,335.2603
Tu,07/02/2023,654.56,1015.51,2820.49,107.83k,18.66,333.4743
Mo,06/02/2023,648.93,1014.49,2793.59,108.722k,19.43,332.751
,,,,,,,
Fr,03/02/2023,656.26,1038.71,2820.74,108.523k,18.33,334.1656
Th,02/02/2023,662.34,1045.56,2847.82,110.141k,18.73,337.1084
We,01/02/2023,654.32,1042.79,2809.94,112.074k,17.87,337.5334
Tu,31/01/2023,648.37,1031.5,2785,113.431k,19.4,335.0867
Mo,30/01/2023,643.95,1044,2759.32,112.273k,19.94,335.3196
,,,,,,,
Fr,27/01/2023,649.94,1051.19,2785.84,112.316k,18.51,336.9002
Th,26/01/2023,648.33,1052.46,2777.62,114.178k,18.73,337.5092
We,25/01/2023,643.23,1041.26,2756.73,114.27k,19.08,337.4665
Tu,24/01/2023,642.92,1039.2,2755.96,113.028k,19.2,336.7495
Mo,23/01/2023,642.68,1038.68,2754.96,111.737k,19.81,335.0628
,,,,,,,
Fr,20/01/2023,636.4,1036.24,2725.4,112.041k,19.85,335.1336
Th,19/01/2023,627.53,1027.91,2685.32,112.922k,20.52,336.6922
We,18/01/2023,633.51,1030.06,2713.54,112.228k,20.34,335.0919
Tu,17/01/2023,638.05,1027.38,2736.45,111.439k,19.36,332.9152
Mo,16/01/2023,638.18,1030.91,2735.88,109.213k,19.49,
,,,,,,,
Fr,13/01/2023,638.08,1029.84,2735.72,110.916k,18.35,333.9126
Th,12/01/2023,634.03,1018.31,2720.09,111.85k,18.83,336.0704
We,11/01/2023,629.93,1016.85,2700.75,112.517k,21.09,333.7399
Tu,10/01/2023,623.63,1014.02,2671.2,110.817k,20.58,332.1364
Mo,09/01/2023,621.93,1013.5,2663.17,109.13k,21.97,333.5403
,,,,,,,
Fr,06/01/2023,617.4,988.68,2649.76,108.964k,21.13,332.6327
Th,05/01/2023,605.7,984,2594.69,107.641k,22.46,329.7835
We,04/01/2023,611.12,974.22,2624.35,105.334k,22.01,329.7113
Tu,03/01/2023,605.46,962.57,2600.91,104.166k,22.9,329.3133
Mo,02/01/2023,606.31,956.12,2607.25,106.376k,,
,,,,,,,
Fr,30/12/2022,605.38,956.38,2602.69,,21.67,329.0584
Th,29/12/2022,607.38,957.45,2611.98,109.735k,21.44,329.2668
